id,salt,weight_percent,temperature,density,source,source_details,notes
1,NaCl,1.0,0.0,1.00747,nationalresearchcouncil1930,Vol. 2 Pg. 79,
2,NaCl,2.0,0.0,1.01509,nationalresearchcouncil1930,Vol. 2 Pg. 79,
3,NaCl,4.0,0.0,1.03038,nationalresearchcouncil1930,Vol. 2 Pg. 79,
4,NaCl,6.0,0.0,1.04575,nationalresearchcouncil1930,Vol. 2 Pg. 79,
5,NaCl,8.0,0.0,1.06121,nationalresearchcouncil1930,Vol. 2 Pg. 79,
6,NaCl,10.0,0.0,1.07677,nationalresearchcouncil1930,Vol. 2 Pg. 79,
7,NaCl,12.0,0.0,1.09244,nationalresearchcouncil1930,Vol. 2 Pg. 79,
8,NaCl,14.0,0.0,1.10824,nationalresearchcouncil1930,Vol. 2 Pg. 79,
9,NaCl,16.0,0.0,1.12419,nationalresearchcouncil1930,Vol. 2 Pg. 79,
10,NaCl,18.0,0.0,1.14031,nationalresearchcouncil1930,Vol. 2 Pg. 79,
11,NaCl,20.0,0.0,1.15663,nationalresearchcouncil1930,Vol. 2 Pg. 79,
12,NaCl,22.0,0.0,1.17318,nationalresearchcouncil1930,Vol. 2 Pg. 79,
13,NaCl,24.0,0.0,1.18999,nationalresearchcouncil1930,Vol. 2 Pg. 79,
14,NaCl,26.0,0.0,1.20709,nationalresearchcouncil1930,Vol. 2 Pg. 79,
15,NaCl,1.0,10.0,1.00707,nationalresearchcouncil1930,Vol. 2 Pg. 79,
16,NaCl,2.0,10.0,1.01442,nationalresearchcouncil1930,Vol. 2 Pg. 79,
17,NaCl,4.0,10.0,1.0292,nationalresearchcouncil1930,Vol. 2 Pg. 79,
18,NaCl,6.0,10.0,1.04408,nationalresearchcouncil1930,Vol. 2 Pg. 79,
19,NaCl,8.0,10.0,1.05907,nationalresearchcouncil1930,Vol. 2 Pg. 79,
20,NaCl,10.0,10.0,1.07419,nationalresearchcouncil1930,Vol. 2 Pg. 79,
21,NaCl,12.0,10.0,1.08946,nationalresearchcouncil1930,Vol. 2 Pg. 79,
22,NaCl,14.0,10.0,1.10491,nationalresearchcouncil1930,Vol. 2 Pg. 79,
23,NaCl,16.0,10.0,1.12056,nationalresearchcouncil1930,Vol. 2 Pg. 79,
24,NaCl,18.0,10.0,1.13643,nationalresearchcouncil1930,Vol. 2 Pg. 79,
25,NaCl,20.0,10.0,1.15254,nationalresearchcouncil1930,Vol. 2 Pg. 79,
26,NaCl,22.0,10.0,1.16891,nationalresearchcouncil1930,Vol. 2 Pg. 79,
27,NaCl,24.0,10.0,1.18557,nationalresearchcouncil1930,Vol. 2 Pg. 79,
28,NaCl,26.0,10.0,1.20254,nationalresearchcouncil1930,Vol. 2 Pg. 79,
29,NaCl,1.0,20.0,1.00534,nationalresearchcouncil1930,Vol. 2 Pg. 79,
30,NaCl,2.0,20.0,1.01246,nationalresearchcouncil1930,Vol. 2 Pg. 79,
